acq_date,total_hotspots,avg_fire_intensity,peak_fire_intensity
1/09/2019 0:00,1911,9.39,234.4
2/09/2019 0:00,2127,8.17,145.7
3/09/2019 0:00,2405,8.99,363.9
4/09/2019 0:00,2682,9.49,288.9
5/09/2019 0:00,2549,7.94,127.2
6/09/2019 0:00,6433,10.15,288.7
7/09/2019 0:00,6354,8.36,221.7
8/09/2019 0:00,5746,9.76,310.1
9/09/2019 0:00,6844,9.45,286.4
10/09/2019 0:00,6244,7.66,479.2
11/09/2019 0:00,3738,9.31,208.7
12/09/2019 0:00,4239,11.79,445.3
13/09/2019 0:00,4217,8.64,215.4
14/09/2019 0:00,4414,9.67,406.5
15/09/2019 0:00,4316,7.62,239.2
16/09/2019 0:00,3718,8.8,357.3
17/09/2019 0:00,2148,9.78,237.2
18/09/2019 0:00,2428,11.3,190.1
19/09/2019 0:00,2070,9.29,298.4
20/09/2019 0:00,1993,16.14,202.2
21/09/2019 0:00,1025,5.42,81
22/09/2019 0:00,1373,8.64,144.2
23/09/2019 0:00,2141,6.81,221.6
24/09/2019 0:00,1810,8.19,151.4
25/09/2019 0:00,1793,9.87,230.6
26/09/2019 0:00,1169,7.32,113.1
27/09/2019 0:00,2208,7.6,365.5
28/09/2019 0:00,2221,10.73,232.2
29/09/2019 0:00,2968,10.37,360.4
30/09/2019 0:00,2868,11.9,575
