acq_date,latitude,longitude,fire_radiative_power_mw,brightness_temp_kelvin,confidence
30/09/2019 0:00,-15.4906,134.6101,575,367,h
10/09/2019 0:00,-29.0002,152.2589,479.2,367,h
12/09/2019 0:00,-29.8169,152.0958,445.3,367,h
12/09/2019 0:00,-29.8149,152.1025,445.3,367,h
12/09/2019 0:00,-29.8081,152.1,445.3,356.5,n
12/09/2019 0:00,-29.81,152.0934,445.3,367,h
14/09/2019 0:00,-28.9075,152.3112,406.5,346.5,n
14/09/2019 0:00,-28.9085,152.3065,406.5,367,h
27/09/2019 0:00,-22.9059,122.2008,365.5,367,h
3/09/2019 0:00,-14.4673,126.7051,363.9,367,h
